"Batter","Season","PA","AB","BBE","xwOBA","xwOBACON"
"Brenner, Easton","2024",539,466,434,0.382,0.37
"Collado, Joel","2026",126,105,75,0.382,0.458
"DePino, Anthony","2024",220,188,170,0.382,0.38
"Fitzsimmons, Dylan","2026",108,82,47,0.382,0.51
"Henshon, Mark","2025",88,82,70,0.382,0.421
"Mullen, Nick","2026",172,167,130,0.382,0.479
"Ragsdale, Josiah","2024",726,635,571,0.382,0.396
"Williams, TJ","2023",521,468,432,0.382,0.395
"Anderson, John","2021",51,49,39,0.381,0.463
"Oyama, Kenny","2021",299,273,255,0.381,0.377
"Alvarez, David","2026",141,131,105,0.38,0.445
"Brinker, Matt","2025",292,267,245,0.38,0.405
"Hall, Kevin","2026",144,117,109,0.38,0.344
"Smith, Boston","2022",174,157,133,0.38,0.409
"Trigiani, Luca","2021",66,60,54,0.38,0.388
"Brini, Niko","2024",881,833,791,0.379,0.384
"Cincinnati, Kyle","2025",109,84,60,0.379,0.402
"Farquhar, Trent","2023",275,238,220,0.379,0.371
"Masterman, Cameron","2021",67,53,45,0.379,0.35
"Miller, Cody","2024",194,177,149,0.379,0.415
"Walsh, Barry","2021",123,113,93,0.379,0.427
"Barnum, Lewis","2023",333,316,292,0.378,0.391
"Carson, Chris","2026",169,138,114,0.378,0.409
"Guachione, Nick","2025",183,169,135,0.378,0.451
"Locurto, Nick","2025",450,395,343,0.378,0.404
"Lorusso, Nick","2021",69,63,53,0.378,0.467
"Luetzow, Johnny","2024",245,221,207,0.378,0.367
"Musacchia, Carmelo","2024",256,226,198,0.378,0.384
"Romano, Nick","2024",683,631,575,0.378,0.392
"Schreck, Thomas","2025",190,163,133,0.378,0.447
"Velazquez, Ray","2024",573,528,438,0.378,0.424
"Burns, Will","2024",248,219,187,0.377,0.419
"Hujsak, Connor","2022",132,120,110,0.377,0.377
"Appelwick, Evan","2025",261,223,181,0.376,0.412
"Droze, Connor","2024",98,81,61,0.376,0.559
"Ebel, Gehrig","2023",209,181,157,0.376,0.395
"Polk, Matthew","2022",349,308,284,0.376,0.382
"Zyons, Zac","2024",544,478,422,0.376,0.383
"Butler, Billy","2023",396,356,302,0.375,0.418
"Johnson, Cole","2026",118,93,80,0.375,0.355
"Rojas Jr., Freddy","2021",325,285,243,0.375,0.399
"Seeker, Scott","2023",611,549,483,0.375,0.437
"Trippel, Lance","2024",309,283,237,0.375,0.425
"Byrkeland, Isaiah","2024",10,8,4,0.374,0.591
"Freeman, Kolton","2022",480,457,423,0.374,0.393
"Kreutzmann, EJ","2023",571,493,401,0.374,0.421
"Paulsen Jr., Erik","2024",127,117,109,0.374,0.373
"Stern, Aidan","2026",200,152,118,0.374,0.354
"Alford, Slate","2023",632,598,534,0.373,0.402
"Ali, Marco","2023",232,215,197,0.373,0.38
"Spielman-Rodriguez, Pablo","2025",43,38,30,0.373,0.419
"Strohmeyer, Kellen","2025",404,368,290,0.373,0.433
"Venuto, Matt","2022",250,236,220,0.373,0.38
"Boardman, Cameron","2025",276,254,224,0.372,0.403
"Cancel, Chris","2026",182,167,150,0.372,0.387
"McCall, Calvin","2022",281,233,191,0.372,0.406
"Molinaro, Bryce","2024",560,510,410,0.372,0.424
"Canales, Colby","2022",156,150,114,0.371,0.471
"Gerlott, Billy","2022",509,483,433,0.371,0.394
"Hyde, Jake","2022",130,124,102,0.371,0.432
"Root, Beau","2024",379,341,307,0.371,0.373
"Advincula, Jarren","2024",14,14,14,0.37,0.37
"Echevarria, Ernie","2026",34,28,21,0.37,0.402
"Keys, Jacob","2024",118,100,86,0.37,0.363
"Latham, Thomas","2022",133,114,94,0.37,0.384
"Paradine, Aidan","2025",408,384,358,0.37,0.376
"Santerre, Cameron","2024",226,179,157,0.37,0.401
"Sutherland, Curry","2024",25,23,23,0.37,0.342
"Corliss, Craig","2022",38,30,24,0.369,0.355
"Downs, Aaron","2023",145,128,104,0.369,0.401
"Larsen, Garrett","2025",644,575,535,0.369,0.355
"Palinski, Max","2024",478,428,392,0.369,0.362
"Tenney, Derek","2022",419,369,315,0.369,0.408
"Hall, Nathan","2023",480,450,404,0.368,0.399
"Hampton, Will","2025",354,329,311,0.368,0.383
"Pilla, Johnny","2024",256,215,191,0.368,0.392
"Sencaj, Brendan","2026",126,102,73,0.368,0.418
"Stannard, Brendan","2023",38,34,30,0.368,0.374
"Christman, Trey","2024",531,497,441,0.367,0.395
"Concannon, Brendan","2022",348,331,295,0.367,0.393
"Evans, Ronald","2021",94,88,70,0.367,0.434
"Holderbach, Drew","2023",528,490,452,0.367,0.383
"Selinsky, Skye","2023",477,422,360,0.367,0.402
"Shpur, Caleb","2024",451,426,406,0.367,0.365
"Baughcum, Brant","2023",133,116,112,0.366,0.33
"Maher, Cabot","2022",267,235,181,0.366,0.433
"Manning, Lucas","2024",270,211,175,0.366,0.368
"Mathison, Carter","2022",386,344,294,0.366,0.391
"Meier, Evan","2026",208,185,163,0.366,0.369
